测试工程师,纬创软件,计算机软件,1000-9999人,已上市,15-24K,上海,3-5年本科,员工旅游加班补助定期体检年终奖节日福利带薪年假五险一金礼金??,自动化测试Python车联网通讯测试手机测试
测试工程师,怪兽充电,互联网,1000-9999人,已上市,20-30K·13薪,上海,5-10年本科,带薪年假交通补助年终奖五险一金定期体检股票期权餐补团队建设员工旅游节日福利零食下午茶,功能测试接口测试自动化测试
测试工程师,北京博睿宏远,计算机软件,500-999人,已上市,18-30K·13薪,北京,3-5年本科,股票期权通讯补贴零食下午茶节日福利交通补助餐补员工旅游带薪年假年终奖五险一金定期体检,自动化测试性能测试压力测试PythonLinux
测试工程师,新智云,互联网,1000-9999人,不需要融资,15-30K·14薪,上海,3-5年本科,年终奖餐补五险一金带薪年假定期体检通讯补贴加班补助补充医疗保险交通补助节日福利,自动化测试接口测试测试开发大数据测试
测试工程师,酷家乐,互联网,1000-9999人,D轮及以上,20-30K·15薪,杭州,3-5年本科,餐补交通补助五险一金股票期权定期体检带薪年假年终奖节日福利,性能测试压力测试JavaShell自动化测试
测试工程师,虹软科技,计算机软件,500-999人,已上市,15-25K,杭州,3-5年本科,带薪年假年终奖定期体检餐补股票期权包吃全勤奖补充医疗保险节日福利五险一金,PythonLinux算法安防/自动驾驶
测试工程师,众能联合,互联网,1000-9999人,C轮,15-26K·14薪,南京,3-5年本科,带薪年假股票期权定期体检晋升发展快速节日福利交通补助半年奖年终奖员工旅游系统化专培训住房补贴员工活动年终奖餐补通讯补贴年度调薪机制体育活动车补油补零食下午茶五险一金,性能测试功能测试手机测试
测试工程师,苏州同程艺龙,互联网,1000-9999人,已上市,25-50K·16薪,上海,5-10年本科,定期体检加班补助节日福利通讯补贴免费班车五险一金员工旅游带薪年假年终奖交通补助补充医疗保险,小程序测试自动化测试功能测试系统测试
测试工程师,BOSS直聘,人力资源服务,1000-9999人,已上市,12-24K,北京,3-5年本科,住房补贴节日福利年终奖交通补助员工旅游加班补助定期体检带薪年假股票期权餐补补充医疗保险五险一金,AndroidWindowsCharles
测试工程师,睿服科技,计算机软件,1000-9999人,不需要融资,16-22K,深圳,5-10年本科,员工旅游带薪年假节日福利年终奖五险一金补充医疗保险零食下午茶全勤奖加班补助定期体检,软件测试功能测试接口测试黑盒测试Postman
测试工程师,闻泰通讯股份有限公司,通信/网络设备,10000人以上,已上市,11-22K,嘉兴,3-5年本科,交通补助节日福利带薪年假补充医疗保险全勤奖五险一金股票期权餐补员工旅游包吃加班补助定期体检,软件测试
测试工程师,华为慧通,电子/半导体/集成电路,10000人以上,不需要融资,18-30K·18薪,南京,3-5年本科,交通补助年终奖节日福利五险一金通讯补贴定期体检住房补贴带薪年假补充医疗保险加班补助,软件测试Python自动化测试功能测试白盒测试
测试工程师,深信服科技,计算机软件,1000-9999人,已上市,15-30K·15薪,深圳,经验不限本科,员工旅游免息购房贷款五险一金定期体检补充医疗保险包吃年终奖住房补贴加班补助股票期权节日福利零食下午茶通讯补贴重大疾病保障玩转各俱乐部超高标准假期餐补带薪年假交通补助,功能测试服务端测试ShellLinux系统测试
测试工程师,vivo,移动互联网,10000人以上,不需要融资,20-40K,深圳,3-5年本科,节日福利员工旅游餐补定期体检通讯补贴全勤奖免费班车餐补交通补助五险一金股票期权零食下午茶带薪年假住房补贴提供住宿年终奖,测试测试工程师软件测试自动化测试性能测试
测试工程师,中科创达软件,计算机软件,1000-9999人,已上市,11-22K·13薪,上海,1-3年本科,股票期权加班补助全勤奖年终奖五险一金住房补贴带薪年假节日福利餐补员工旅游交通补助定期体检,车载TCPIP整车通讯
测试工程师,滴滴,移动互联网,1000-9999人,D轮及以上,18-25K·15薪,北京,5-10年本科,补充医疗保险定期体检五险一金,软件测试功能测试LinuxAndroid
测试工程师,KK馆,电子商务,1000-9999人,D轮及以上,15-25K,深圳,3-5年大专,餐补五险一金股票期权年终奖带薪年假零食下午茶员工旅游节日福利,软件测试自动化测试接口测试AndroidiOS
测试工程师,NIO蔚来,汽车生产,10000人以上,已上市,20-35K·15薪,上海,1-3年本科,股票期权带薪年假通讯补贴补充医疗保险,自动化测试系统测试PythonShellLinux
测试工程师,时空电动,汽车生产,1000-9999人,C轮,15-25K·14薪,杭州,5-10年大专,带薪年假弹性工作时间加班补助五险一金零食下午茶年终奖定期体检,测试测试工程师自动化测试功能测试接口测试
测试工程师,小米,互联网,10000人以上,已上市,25-40K·14薪,北京,5-10年本科,补充医疗保险年终奖12%公积金股票期权五险一金节日福利餐补带薪年假定期体检全勤奖,软件测试自动化测试移动端测试手机测试
测试工程师,软通动力,计算机软件,10000人以上,已上市,11-22K,南京,3-5年本科,五险一金员工旅游定期体检全勤奖免费班车节日福利团建活动零食下午茶带薪年假加班补助,自动化测试功能测试性能测试接口测试
测试工程师,SHEIN,电子商务,10000人以上,D轮及以上,15-30K,广州,5-10年本科,定期体检带薪年假节日福利年终奖员工旅游零食下午茶五险一金餐补,功能测试性能测试自动化测试
测试工程师,奥比中光,智能硬件,500-999人,D轮及以上,14-28K·14薪,深圳,3-5年大专,股票期权定期体检节日福利五险一金年终奖带薪年假文体活动,测试工程师硬件测试性能测试整机测试
测试工程师,珍岛集团,互联网,1000-9999人,不需要融资,15-25K,上海,3-5年本科,员工旅游股票期权五险一金节日福利全勤奖免费早餐带薪年假年终奖通讯补贴,测试测试工程师软件测试性能测试功能测试
